"Module"	"Genome"	"Pathwayperc"
"Chondroitin sulfate degradation"	"BJP1.genes.Module.step.presence"	0
"Heparan sulfate degradation"	"BJP1.genes.Module.step.presence"	0
"Keratan sulfate degradation"	"BJP1.genes.Module.step.presence"	0
"Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen"	"BJP1.genes.Module.step.presence"	0
"Pectin degradation"	"BJP1.genes.Module.step.presence"	0
"Fatty acid biosynthesis, initiation"	"BJP1.genes.Module.step.presence"	0
"Fatty acid biosynthesis, elongation"	"BJP1.genes.Module.step.presence"	0
"Fatty acid biosynthesis, elongation, mitochondria"	"BJP1.genes.Module.step.presence"	0
"beta-Oxidation, acyl-CoA synthesis"	"BJP1.genes.Module.step.presence"	0
"beta-Oxidation"	"BJP1.genes.Module.step.presence"	0
"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone"	"BJP1.genes.Module.step.presence"	0
"Triacylglycerol biosynthesis"	"BJP1.genes.Module.step.presence"	0
"Phosphatidylcholine (PC) biosynthesis, choline => PC"	"BJP1.genes.Module.step.presence"	0
"Phosphatidylcholine (PC) biosynthesis, PE => PC"	"BJP1.genes.Module.step.presence"	0
"Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE"	"BJP1.genes.Module.step.presence"	0
"Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE"	"BJP1.genes.Module.step.presence"	0
"Ceramide biosynthesis"	"BJP1.genes.Module.step.presence"	0
"C5 isoprenoid biosynthesis, mevalonate pathway"	"BJP1.genes.Module.step.presence"	0
"C5 isoprenoid biosynthesis, non-mevalonate pathway"	"BJP1.genes.Module.step.presence"	0
"beta-Carotene biosynthesis, GGAP => beta-carotene"	"BJP1.genes.Module.step.presence"	0
"Acylglycerol degradation"	"BJP1.genes.Module.step.presence"	0
"Sphingosine biosynthesis"	"BJP1.genes.Module.step.presence"	0
"Sphingosine degradation"	"BJP1.genes.Module.step.presence"	0
"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol"	"BJP1.genes.Module.step.presence"	0
"Ergocalciferol biosynthesis"	"BJP1.genes.Module.step.presence"	0
"Cholecalciferol biosynthesis"	"BJP1.genes.Module.step.presence"	0
"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate"	"BJP1.genes.Module.step.presence"	0
"Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate"	"BJP1.genes.Module.step.presence"	0
"Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone"	"BJP1.genes.Module.step.presence"	0
"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone"	"BJP1.genes.Module.step.presence"	0
"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone"	"BJP1.genes.Module.step.presence"	0
"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone"	"BJP1.genes.Module.step.presence"	0
"Tocopherol/tocotorienol biosynthesis"	"BJP1.genes.Module.step.presence"	0
"Jasmonic acid biosynthesis"	"BJP1.genes.Module.step.presence"	0
"Ascorbate biosynthesis, plants, glucose-6P => ascorbate"	"BJP1.genes.Module.step.presence"	0
"NAD biosynthesis, aspartate => NAD"	"BJP1.genes.Module.step.presence"	0
"Menaquinone biosynthesis, chorismate => menaquinone"	"BJP1.genes.Module.step.presence"	0
"Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone"	"BJP1.genes.Module.step.presence"	0
"Glutathione biosynthesis, glutamate => glutathione"	"BJP1.genes.Module.step.presence"	0
"Pantothenate biosynthesis, valine/L-aspartate => pantothenate"	"BJP1.genes.Module.step.presence"	0
"Coenzyme A biosynthesis, pantothenate => CoA"	"BJP1.genes.Module.step.presence"	0
"Heme biosynthesis, glutamate => protoheme/siroheme"	"BJP1.genes.Module.step.presence"	0
"Cobalamin biosynthesis, cobinamide => cobalamin"	"BJP1.genes.Module.step.presence"	0
"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"	"BJP1.genes.Module.step.presence"	0
"Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P"	"BJP1.genes.Module.step.presence"	0
"Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD"	"BJP1.genes.Module.step.presence"	0
"Tetrahydrofolate biosynthesis, GTP => THF"	"BJP1.genes.Module.step.presence"	0
"Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P"	"BJP1.genes.Module.step.presence"	0
"Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone"	"BJP1.genes.Module.step.presence"	0
"Ascorbate biosynthesis, animals, glucose-1P => ascorbate"	"BJP1.genes.Module.step.presence"	0
"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4"	"BJP1.genes.Module.step.presence"	0
"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol"	"BJP1.genes.Module.step.presence"	0
"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate"	"BJP1.genes.Module.step.presence"	0
"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine"	"BJP1.genes.Module.step.presence"	0
"Polyamine biosynthesis, arginine => ornithine => putrescine"	"BJP1.genes.Module.step.presence"	0
"GABA biosynthesis, eukaryotes, putrescine => GABA"	"BJP1.genes.Module.step.presence"	0
"GABA biosynthesis, prokaryotes, putrescine => GABA"	"BJP1.genes.Module.step.presence"	0
"Flavanone biosynthesis, phenylalanine => naringenin"	"BJP1.genes.Module.step.presence"	0
"Flavonoid biosynthesis, naringenin => pelargonidin"	"BJP1.genes.Module.step.presence"	0
"C1-unit interconversion, prokaryotes"	"BJP1.genes.Module.step.presence"	0
"C1-unit interconversion, eukaryotes"	"BJP1.genes.Module.step.presence"	0
"NADH:ubiquinone oxidoreductase, mitochondria"	"BJP1.genes.Module.step.presence"	0
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria"	"BJP1.genes.Module.step.presence"	0
"NADH:quinone oxidoreductase, prokaryotes"	"BJP1.genes.Module.step.presence"	1
"NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria"	"BJP1.genes.Module.step.presence"	0
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex"	"BJP1.genes.Module.step.presence"	0
"NADH dehydrogenase (ubiquinone) 1 beta subcomplex"	"BJP1.genes.Module.step.presence"	0
"Succinate dehydrogenase (ubiquinone)"	"BJP1.genes.Module.step.presence"	0
"Succinate dehydrogenase, prokaryotes"	"BJP1.genes.Module.step.presence"	0
"Fumarate reductase, prokaryotes"	"BJP1.genes.Module.step.presence"	0
"Cytochrome bc1 complex respiratory unit"	"BJP1.genes.Module.step.presence"	0
"Cytochrome bc1 complex"	"BJP1.genes.Module.step.presence"	0
"Cytochrome d ubiquinol oxidase"	"BJP1.genes.Module.step.presence"	0
"Cytochrome c oxidase"	"BJP1.genes.Module.step.presence"	0
"Cytochrome c oxidase, prokaryotes"	"BJP1.genes.Module.step.presence"	0
"Cytochrome c oxidase, cbb3-type"	"BJP1.genes.Module.step.presence"	0
"F-type ATPase, prokaryotes and chloroplasts"	"BJP1.genes.Module.step.presence"	0
"F-type ATPase, eukaryotes"	"BJP1.genes.Module.step.presence"	0
"V/A-type ATPase, prokaryotes"	"BJP1.genes.Module.step.presence"	1
"V-type ATPase, eukaryotes"	"BJP1.genes.Module.step.presence"	0
"Photosystem II"	"BJP1.genes.Module.step.presence"	0
"Cytochrome b6f complex"	"BJP1.genes.Module.step.presence"	0
"Photosystem I"	"BJP1.genes.Module.step.presence"	0
"Reductive pentose phosphate cycle (Calvin cycle)"	"BJP1.genes.Module.step.presence"	0
"Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P"	"BJP1.genes.Module.step.presence"	0
"Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P"	"BJP1.genes.Module.step.presence"	0
"CAM (Crassulacean acid metabolism), dark"	"BJP1.genes.Module.step.presence"	0
"CAM (Crassulacean acid metabolism), light"	"BJP1.genes.Module.step.presence"	0
"C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type"	"BJP1.genes.Module.step.presence"	0
"C4-dicarboxylic acid cycle, NAD - malic enzyme type"	"BJP1.genes.Module.step.presence"	0
"C4-dicarboxylic acid cycle, NADP - malic enzyme type"	"BJP1.genes.Module.step.presence"	0
"Reductive citrate cycle (Arnon-Buchanan cycle)"	"BJP1.genes.Module.step.presence"	0
"Methane oxidation, methanotroph, methane => formaldehyde"	"BJP1.genes.Module.step.presence"	0
"Nitrogen fixation, nitrogen => ammonia"	"BJP1.genes.Module.step.presence"	0
"Assimilatory sulfate reduction, sulfate => H2S"	"BJP1.genes.Module.step.presence"	0
"Ribosome, eukaryotes"	"BJP1.genes.Module.step.presence"	1
"Ribosome, bacteria"	"BJP1.genes.Module.step.presence"	1
"Ribosome, archaea"	"BJP1.genes.Module.step.presence"	1
"RNA polymerase II, eukaryotes"	"BJP1.genes.Module.step.presence"	0
"RNA polymerase III, eukaryotes"	"BJP1.genes.Module.step.presence"	0
"RNA polymerase I, eukaryotes"	"BJP1.genes.Module.step.presence"	0
"RNA polymerase, bacteria"	"BJP1.genes.Module.step.presence"	0
"RNA polymerase, archaea"	"BJP1.genes.Module.step.presence"	1
"Sulfate transport system"	"BJP1.genes.Module.step.presence"	0
"Tungstate transport system"	"BJP1.genes.Module.step.presence"	0
"NitT/TauT family transport system"	"BJP1.genes.Module.step.presence"	0
"Molybdate transport system"	"BJP1.genes.Module.step.presence"	0
"Iron(III) transport system"	"BJP1.genes.Module.step.presence"	0
"Thiamine transport system"	"BJP1.genes.Module.step.presence"	0
"Putative thiamine transport system"	"BJP1.genes.Module.step.presence"	0
"Putative spermidine/putrescine transport system"	"BJP1.genes.Module.step.presence"	0
"Maltose/maltodextrin transport system"	"BJP1.genes.Module.step.presence"	0
"Raffinose/stachyose/melibiose transport system"	"BJP1.genes.Module.step.presence"	0
"Putative fructooligosaccharide transport system"	"BJP1.genes.Module.step.presence"	0
"Putative sn-glycerol-phosphate transport system"	"BJP1.genes.Module.step.presence"	0
"L-Arabinose/lactose transport system"	"BJP1.genes.Module.step.presence"	0
"Putative sorbitol/mannitol transport system"	"BJP1.genes.Module.step.presence"	0
"alpha-Glucoside transport system"	"BJP1.genes.Module.step.presence"	0
"Oligogalacturonide transport system"	"BJP1.genes.Module.step.presence"	0
"Glucose/arabinose transport system"	"BJP1.genes.Module.step.presence"	0
"Trehalose/maltose transport system"	"BJP1.genes.Module.step.presence"	0
"N-Acetylglucosamine transport system"	"BJP1.genes.Module.step.presence"	0
"Cellobiose transport system"	"BJP1.genes.Module.step.presence"	0
"Putative multiple sugar transport system"	"BJP1.genes.Module.step.presence"	0
"Glycine betaine/proline transport system"	"BJP1.genes.Module.step.presence"	0
"Osmoprotectant transport system"	"BJP1.genes.Module.step.presence"	0
"Phospholipid transport system"	"BJP1.genes.Module.step.presence"	0
"Putative ABC transport system"	"BJP1.genes.Module.step.presence"	0.333333333333333
"Ribose transport system"	"BJP1.genes.Module.step.presence"	0
"L-Arabinose transport system"	"BJP1.genes.Module.step.presence"	0
"Methyl-galactoside transport system"	"BJP1.genes.Module.step.presence"	0
"D-Xylose transport system"	"BJP1.genes.Module.step.presence"	0
"Multiple sugar transport system"	"BJP1.genes.Module.step.presence"	0
"D-Allose transport system"	"BJP1.genes.Module.step.presence"	0
"Fructose transport system"	"BJP1.genes.Module.step.presence"	0
"AI-2 transport system"	"BJP1.genes.Module.step.presence"	0
"Rhamnose transport system"	"BJP1.genes.Module.step.presence"	0
"Putative simple sugar transport system"	"BJP1.genes.Module.step.presence"	0
"Phosphate transport system"	"BJP1.genes.Module.step.presence"	0
"Phosphonate transport system"	"BJP1.genes.Module.step.presence"	0
"Fluoroquinolone transport system"	"BJP1.genes.Module.step.presence"	0
"Lysine/arginine/ornithine transport system"	"BJP1.genes.Module.step.presence"	0
"Histidine transport system"	"BJP1.genes.Module.step.presence"	0
"Glutamine transport system"	"BJP1.genes.Module.step.presence"	0
"Putative glutamine transport system"	"BJP1.genes.Module.step.presence"	0
"Arginine transport system"	"BJP1.genes.Module.step.presence"	0
"Glutamate/aspartate transport system"	"BJP1.genes.Module.step.presence"	0
"Octopine/nopaline transport system"	"BJP1.genes.Module.step.presence"	0
"General L-amino acid transport system"	"BJP1.genes.Module.step.presence"	0
"Glutamate transport system"	"BJP1.genes.Module.step.presence"	0
"Cystine transport system"	"BJP1.genes.Module.step.presence"	0
"Arginine/ornithine transport system"	"BJP1.genes.Module.step.presence"	0
"Putative polar amino acid transport system"	"BJP1.genes.Module.step.presence"	0
"Branched-chain amino acid transport system"	"BJP1.genes.Module.step.presence"	0
"D-Methionine transport system"	"BJP1.genes.Module.step.presence"	0
"Peptides/nickel transport system"	"BJP1.genes.Module.step.presence"	0
"Iron complex transport system"	"BJP1.genes.Module.step.presence"	1
"Vitamin B12 transport system"	"BJP1.genes.Module.step.presence"	0
"Zinc transport system"	"BJP1.genes.Module.step.presence"	1
"Manganese/iron transport system"	"BJP1.genes.Module.step.presence"	0
"Putative zinc/manganese transport system"	"BJP1.genes.Module.step.presence"	0
"Cobalt/nickel transport system"	"BJP1.genes.Module.step.presence"	1
"Nickel transport system"	"BJP1.genes.Module.step.presence"	1
"Capsular polysaccharide transport system"	"BJP1.genes.Module.step.presence"	0
"Lipopolysaccharide transport system"	"BJP1.genes.Module.step.presence"	1
"Teichoic acid transport system"	"BJP1.genes.Module.step.presence"	0
"Lipooligosaccharide transport system"	"BJP1.genes.Module.step.presence"	0
"Sodium transport system"	"BJP1.genes.Module.step.presence"	0
"ABC-2 type transport system"	"BJP1.genes.Module.step.presence"	1
"Lipoprotein-releasing system"	"BJP1.genes.Module.step.presence"	0
"Cell division transport system"	"BJP1.genes.Module.step.presence"	0
"Hemin transport system"	"BJP1.genes.Module.step.presence"	0
"Heme transport system"	"BJP1.genes.Module.step.presence"	0
"DNA polymerase III complex, bacteria"	"BJP1.genes.Module.step.presence"	0
"DNA polymerase alpha / primase complex"	"BJP1.genes.Module.step.presence"	0
"DNA polymerase delta complex"	"BJP1.genes.Module.step.presence"	0
"DNA polymerase epsilon complex"	"BJP1.genes.Module.step.presence"	0
"DNA polymerase II complex, archaea"	"BJP1.genes.Module.step.presence"	0
"PTS system, glucose-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, maltose/glucose-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, N-acetylglucosamine-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, alpha-glucoside-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, sucrose-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, trehalose-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, beta-glucoside-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, fructose-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, mannitol-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, cellobiose-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, mannose-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, N-acetylgalactosamine-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, sorbose-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, galactitol-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, glucitol/sorbitol-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, lactose-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, D-glucosamine-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, ascorbate-specific II component"	"BJP1.genes.Module.step.presence"	0
"Origin recognition complex"	"BJP1.genes.Module.step.presence"	0
"MCM complex"	"BJP1.genes.Module.step.presence"	0
"GINS complex"	"BJP1.genes.Module.step.presence"	0
"PTS system, galactosamine-specific II component"	"BJP1.genes.Module.step.presence"	0
"RPA complex"	"BJP1.genes.Module.step.presence"	0
"RF-C complex"	"BJP1.genes.Module.step.presence"	0
"Holo-TFIIH complex"	"BJP1.genes.Module.step.presence"	0
"MRN complex"	"BJP1.genes.Module.step.presence"	0
"MRX complex"	"BJP1.genes.Module.step.presence"	0
"DNA polymerase zeta complex"	"BJP1.genes.Module.step.presence"	0
"DNA polymerase gamma complex"	"BJP1.genes.Module.step.presence"	0
"BRCA1-associated genome surveillance complex (BASC)"	"BJP1.genes.Module.step.presence"	1
"BER complex"	"BJP1.genes.Module.step.presence"	0
"DNA-PK complex"	"BJP1.genes.Module.step.presence"	0
"Multidrug/hemolysin transport system"	"BJP1.genes.Module.step.presence"	0
"Spermidine/putrescine transport system"	"BJP1.genes.Module.step.presence"	0
"Putrescine transport system"	"BJP1.genes.Module.step.presence"	0
"Mannopine transport system"	"BJP1.genes.Module.step.presence"	0
"2-Aminoethylphosphonate transport system"	"BJP1.genes.Module.step.presence"	0
"PTS system, N-acetylmuramic acid-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, 2-O-A-mannosyl-D-glycerate-specific II component"	"BJP1.genes.Module.step.presence"	0
"PTS system, fructose-specific II-like component"	"BJP1.genes.Module.step.presence"	0
"Pyruvate oxidation, pyruvate => acetyl-CoA"	"BJP1.genes.Module.step.presence"	1
"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P"	"BJP1.genes.Module.step.presence"	0
"Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate"	"BJP1.genes.Module.step.presence"	0
"Bacitracin transport system"	"BJP1.genes.Module.step.presence"	0
"Uncharacterized ABC transport system"	"BJP1.genes.Module.step.presence"	0
"Manganese transport system"	"BJP1.genes.Module.step.presence"	0
"Iron/zinc/manganese/copper transport system"	"BJP1.genes.Module.step.presence"	0
"Manganese/zinc/iron transport system"	"BJP1.genes.Module.step.presence"	0
"Lipopolysaccharide export system"	"BJP1.genes.Module.step.presence"	0
"Bicarbonate transport system"	"BJP1.genes.Module.step.presence"	0
"Neutral amino acid transport system"	"BJP1.genes.Module.step.presence"	0
"Urea transport system"	"BJP1.genes.Module.step.presence"	0
"Dipeptide transport system"	"BJP1.genes.Module.step.presence"	0
"alpha-Hemolysin/cyclolysin transport system"	"BJP1.genes.Module.step.presence"	0
"RTX toxin transport system"	"BJP1.genes.Module.step.presence"	0
"S-Layer protein transport system"	"BJP1.genes.Module.step.presence"	1
"Hemophore/metalloprotease transport system"	"BJP1.genes.Module.step.presence"	0
"Multiple protein transport system"	"BJP1.genes.Module.step.presence"	0
"Adhesin protein transport system"	"BJP1.genes.Module.step.presence"	0
"Type II general secretion pathway"	"BJP1.genes.Module.step.presence"	0
"Type III secretion system"	"BJP1.genes.Module.step.presence"	0
"Type IV secretion system"	"BJP1.genes.Module.step.presence"	0
"Type VI secretion system"	"BJP1.genes.Module.step.presence"	0
"Sec (secretion) system"	"BJP1.genes.Module.step.presence"	1
"Twin-arginine translocation (Tat) system"	"BJP1.genes.Module.step.presence"	1
"Immunoproteasome"	"BJP1.genes.Module.step.presence"	0
"Cysteine biosynthesis, homocysteine + serine => cysteine"	"BJP1.genes.Module.step.presence"	0
"RaxAB-RaxC type I secretion system"	"BJP1.genes.Module.step.presence"	0
"Proteasome, 20S core particle"	"BJP1.genes.Module.step.presence"	0
"Proteasome, 19S regulatory particle (PA700)"	"BJP1.genes.Module.step.presence"	0
"Bacterial proteasome"	"BJP1.genes.Module.step.presence"	1
"Archaeal proteasome"	"BJP1.genes.Module.step.presence"	1
"Formaldehyde assimilation, xylulose monophosphate pathway"	"BJP1.genes.Module.step.presence"	0
"Formaldehyde assimilation, ribulose monophosphate pathway"	"BJP1.genes.Module.step.presence"	0
"Formaldehyde assimilation, serine pathway"	"BJP1.genes.Module.step.presence"	0
"Glutathione transport system"	"BJP1.genes.Module.step.presence"	0
"Microcin C transport system"	"BJP1.genes.Module.step.presence"	0
"Capsaicin biosynthesis, L-Phenylalanine => Capsaicin"	"BJP1.genes.Module.step.presence"	0
"Spliceosome, U1-snRNP"	"BJP1.genes.Module.step.presence"	0
"Spliceosome, U2-snRNP"	"BJP1.genes.Module.step.presence"	0
"Spliceosome, Prp19/CDC5L complex"	"BJP1.genes.Module.step.presence"	0
"Spliceosome, U4/U6.U5 tri-snRNP"	"BJP1.genes.Module.step.presence"	0
"Spliceosome, 35S U5-snRNP"	"BJP1.genes.Module.step.presence"	0
"Methanogenesis, methanol => methane"	"BJP1.genes.Module.step.presence"	0
